I_s/mA ,Offset: U_s (+) /V ,Offset: U_s (-) /V
300    ,            0.1209 ,            0.1209
200    ,            0.1193 ,            0.1194
100    ,            0.1178 ,            0.1179
0      ,            0.1162 ,            0.1163
-100   ,            0.1146 ,            0.1148
-200   ,            0.1131 ,            0.1132
-300   ,            0.1116 ,            0.1116
